16.05.2023                                    Salida dinámica de lista                                                                                         1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	 Importe en ML	ML	Texto	    ImpteML2	ML2	Lib.mayor
			CCAJ-EA58/90/23		113077368	24.04.2023	24.04.2023	40	     1.564,10	BOB	LP.TRASP.CAJ.MN.AG. SATELITE A MCSC 6211 21.04	     224,73	USD	101041012
			DISALTO		113077967	24.04.2023	24.04.2023	40	     1.501,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/89/23	     215,66	USD	101041012
			DISALTO		113077967	24.04.2023	24.04.2023	50	-1.501,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/89/23	-215,66	USD	101041012
			CCAJ-EA58/89/23		113077369	24.04.2023	24.04.2023	40	     1.501,00	BOB	LP.TRASP.CAJ.MN.AG. SATELITE A MCSC 6211 20.04	     215,66	USD	101041012
			13713-106203 ROBER		2000342905	24.04.2023	24.04.2023	50	-2.144,80	BOB	13713-106203 ROBERTO IVAN ARIAS CHOQUETI	-308,16	USD	101041012
			COMPENSACIONES		113077768	24.04.2023	24.04.2023	40	   110.000,00	BOB	LP-COMPENSACIONES	  15.804,60	USD	101041022
			COMPENSACIONES		113077768	24.04.2023	24.04.2023	50	-110.000,00	BOB	LP-COMPENSACIONES	-15.804,60	USD	101041022
			COMPENSACIONES		113077920	24.04.2023	24.04.2023	40	       662,00	BOB	LP-COMPENSACIONES	      95,11	USD	101041022
			COMPENSACIONES		113077920	24.04.2023	24.04.2023	50	-662,00	BOB	LP-COMPENSACIONES	-95,11	USD	101041022
			14769-20208		113077915	24.04.2023	24.04.2023	40	       150,00	BOB	LP-DEP X VTA CHATARRA-OSCO	      21,55	USD	101041022
			14769-20208		113077915	24.04.2023	24.04.2023	40	        60,00	BOB	LP-DEP X VTA CHATARRA-MAMANI	       8,62	USD	101041022
			14769-20208		113077915	24.04.2023	24.04.2023	40	        70,00	BOB	LP-DEP X VTA CHATARRA-ARUQUIPA	      10,06	USD	101041022
			14769-20208		113077915	24.04.2023	24.04.2023	40	         9,00	BOB	LP-DEP X VTA CHATARRA-YANA	       1,29	USD	101041022
			17498101		1900239712	24.04.2023	24.04.2023	40	       373,00	BOB	LP-DEP SALDO F.RENDIR CAROLA APALA	      53,59	USD	101041022
			6940-3487345		1900239713	24.04.2023	24.04.2023	40	     1.851,62	BOB	LP-DEP SALDO F.RENDIR ALVARO TOLA	     266,04	USD	101041022
			14557-994829 -CRED		2000342906	24.04.2023	24.04.2023	50	-1.791,30	BOB	14557-994829 -CREDITO ACH -DAMARIS EUFEM	-257,37	USD	101041022
			TRANSFERENCIA		113077703	24.04.2023	24.04.2023	40	   178.000,00	BOB	LP-TRASPASO DE FONDOS	  25.574,71	USD	101041022
			COMPENSACION		113077451	24.04.2023	24.04.2023	40	   745.447,79	BOB	SC COMPENSACION BMSC 2476	 107.104,57	USD	101041042
			COMPENSACION		113077451	24.04.2023	24.04.2023	50	-745.447,79	BOB	SC COMPENSACION BMSC 2476	-107.104,57	USD	101041042
					113077610	24.04.2023	24.04.2023	40	   435.074,37	BOB	SC AHORRO DEL 240423	  62.510,69	USD	101041042
					113077610	24.04.2023	24.04.2023	40	   435.074,37	BOB	SC AHORRO DEL 180423	  62.510,69	USD	101041042
			6490-1734785 COCA		2000342974	24.04.2023	24.04.2023	50	-390,00	BOB	6490-1734785 COCA ALVAREZ SERGIO ALEJAND	-56,03	USD	101041052
			COMPENSACION		113077469	24.04.2023	24.04.2023	40	   261.475,67	BOB	SC COMPENSACION BMSC 2984	  37.568,34	USD	101041052
			COMPENSACION		113077469	24.04.2023	24.04.2023	50	-261.475,67	BOB	SC COMPENSACION BMSC 2984	-37.568,34	USD	101041052
					113077706	24.04.2023	24.04.2023	40	   580.000,00	BOB	SC TRASPASO DE FONDOS	  83.333,33	USD	101041052
					113190942	24.04.2023	24.04.2023	40	       130,00	BOB	SC DEPOSITO DE JOSE MIGUEL YAMANDIRI TOLEDO	      18,68	USD	101041052
			6944-1074538 -CRED		2000342976	24.04.2023	24.04.2023	50	-130,00	BOB	6944-1074538 -CREDITO ACH - VALOR CREDIT	-18,68	USD	101041052
			6492-1738041 LOPEZ		2000342975	24.04.2023	24.04.2023	50	-250,00	BOB	6492-1738041 LOPEZ ENCINAS GUISELA ERIKA	-35,92	USD	101041052
					113203563	24.04.2023	24.04.2023	40	        30,00	BOB	SC DEPOSITO DE PATRICIA CHAVEZ	       4,31	USD	101041052
					113203566	24.04.2023	24.04.2023	40	       135,00	BOB	DEPOSITO DE MARIA BELEN KUSHNER DURANDO	      19,40	USD	101041052
			14551-1021550 -MAR		2000342972	24.04.2023	24.04.2023	50	-135,00	BOB	14551-1021550 -MARIA BELEN KUSHNER DURANDO	-19,40	USD	101041052
			DISCRUZ		113078002	24.04.2023	24.04.2023	40	       649,50	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/91/23	      93,32	USD	101041082
			DISCRUZ		113078002	24.04.2023	24.04.2023	50	-649,50	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/91/23	-93,32	USD	101041082
			CCAJ-SC59/91/23		113077377	24.04.2023	24.04.2023	40	       649,50	BOB	LP.TRASP.CAJ.MN.AG. WARNES A MCSC 8183 21.04	      93,32	USD	101041082
			DISCRUZ		113078005	24.04.2023	24.04.2023	40	     1.175,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/90/23	     168,82	USD	101041082
			DISCRUZ		113078005	24.04.2023	24.04.2023	50	-1.175,00	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC59/90/23	-168,82	USD	101041082
			CCAJ-SC59/90/23		113077378	24.04.2023	24.04.2023	40	     1.175,00	BOB	LP.TRASP.CAJ.MN.AG. WARNES A MCSC 8183 20.04	     168,82	USD	101041082
			DISCRUZ		113078007	24.04.2023	24.04.2023	40	    39.242,32	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/188/20	   5.638,27	USD	101041082
			DISCRUZ		113078007	24.04.2023	24.04.2023	50	-39.242,32	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/188/20	-5.638,27	USD	101041082
			DISCRUZ		113078009	24.04.2023	24.04.2023	40	    43.500,10	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/190/20	   6.250,01	USD	101041082
			DISCRUZ		113078009	24.04.2023	24.04.2023	50	-43.500,10	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/190/20	-6.250,01	USD	101041082
			9811-250763 JOSE M		2000342995	24.04.2023	24.04.2023	50	-487,00	BOB	9811-250763 JOSE MARIA RIBERA SOTELO-DE	-69,97	USD	101041082
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	    19.954,63	BOB		   2.867,04	USD	101041082
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	    89.361,00	BOB		  12.839,22	USD	101041082
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	    18.357,31	BOB		   2.637,54	USD	101041082
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     2.577,60	BOB		     370,34	USD	101041082
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       625,33	BOB		      89,85	USD	101041082
			13895-96770 CAMPOS		2000342994	24.04.2023	24.04.2023	50	-38.311,94	BOB	13895-96770 CAMPOS RUIZ BENITO-DEPOSITO	-5.504,59	USD	101041082
			13705-56255 GALEAN		2000342996	24.04.2023	24.04.2023	50	-2.577,60	BOB	13705-56255 GALEAN MALLON FLAVIA-DEPOSI	-370,34	USD	101041082
			13705-56256 GALEAN		2000342997	24.04.2023	24.04.2023	50	-625,33	BOB	13705-56256 GALEAN MALLON FLAVIA-DEPOSI	-89,85	USD	101041082
			10220-153204 MENAC		2000342998	24.04.2023	24.04.2023	50	-89.361,00	BOB	10220-153204 MENACHO MONTAÑO MOISES-DEPO	-12.839,22	USD	101041082
			CCAJ-CB11/96/202		113078102	24.04.2023	24.04.2023	40	     2.985,57	BOB		     428,96	USD	101042012
			CCAJ-CB11/96/202		113078102	24.04.2023	24.04.2023	40	    10.050,12	BOB		   1.443,98	USD	101042012
			CCAJ-TR47/93/202		113077956	24.04.2023	24.04.2023	40	    11.754,39	BOB		   1.688,85	USD	101042012
			CCAJ-TR47/93/202		113077956	24.04.2023	24.04.2023	40	       443,00	BOB		      63,65	USD	101042012
			DEPOSITO A CUENTA		2000342999	24.04.2023	24.04.2023	50	-11.754,39	BOB	DEPOSITO A CUENTA	-1.688,85	USD	101042012
			DISPAZ		113077987	24.04.2023	24.04.2023	40	    30.169,61	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/173/20	   4.334,71	USD	101042022
			DISPAZ		113077987	24.04.2023	24.04.2023	50	-30.169,61	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/173/20	-4.334,71	USD	101042022
			DISALTO		113077989	24.04.2023	24.04.2023	40	    36.998,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/166/20	   5.315,80	USD	101042022
			DISALTO		113077989	24.04.2023	24.04.2023	50	-36.998,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/166/20	-5.315,80	USD	101042022
			CCAJ-LP02/175/20		113078059	24.04.2023	24.04.2023	40	    19.000,00	BOB		   2.729,89	USD	101042022
			CCAJ-TA43/92/202		113078038	24.04.2023	24.04.2023	40	     1.987,00	BOB		     285,49	USD	101042022
			46076023 DEP DE CL		2000342900	24.04.2023	24.04.2023	50	-6.100,00	BOB	46076023 DEP DE CLAUDIA ARACELY JANC	-876,44	USD	101042022
			COMPENSACIONES		113077770	24.04.2023	24.04.2023	40	 1.053.000,00	BOB	LP-COMPENSACIONES	 151.293,10	USD	101043002
			COMPENSACIONES		113077770	24.04.2023	24.04.2023	50	-1.053.000,00	BOB	LP-COMPENSACIONES	-151.293,10	USD	101043002
			COMPENSACIONES		113077948	24.04.2023	24.04.2023	40	   306.000,00	BOB	LP-COMPENSACIONES	  43.965,52	USD	101043002
			COMPENSACIONES		113077948	24.04.2023	24.04.2023	50	-306.000,00	BOB	LP-COMPENSACIONES	-43.965,52	USD	101043002
			TRANSFERENCIA		113077945	24.04.2023	24.04.2023	40	   138.000,00	BOB	LP-TRASPASO DE FONDOS	  19.827,59	USD	101043002
			REVERSION		113077947	24.04.2023	24.04.2023	50	-168.000,00	BOB	LP-PGO REVERSION 113063358	-24.137,93	USD	101043002
			ORURO		113077974	24.04.2023	24.04.2023	40	        61,00	BOB	LP. COMPENSACION ORURO CCAJ-OR51/89/23	       8,76	USD	101043002
			ORURO		113077974	24.04.2023	24.04.2023	50	-61,00	BOB	LP. COMPENSACION ORURO CCAJ-OR51/89/23	-8,76	USD	101043002
			ORURO		113077978	24.04.2023	24.04.2023	40	         0,00	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/92/23	       0,01	USD	101043002
			DISALTO		113077984	24.04.2023	24.04.2023	40	       126,42	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/90/23	      18,16	USD	101043002
			DISALTO		113077984	24.04.2023	24.04.2023	50	-126,42	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/90/23	-18,16	USD	101043002
			CCAJ-LP08/93/23		113078084	24.04.2023	24.04.2023	40	       249,28	BOB		      35,82	USD	101043002
			60018 QR DE OLMOS		2000342901	24.04.2023	24.04.2023	50	-41,36	BOB	60018 QR DE OLMOS SOZA GER	-5,94	USD	101043002
			247319 QR DE FABIO		2000342902	24.04.2023	24.04.2023	50	-102,27	BOB	247319 QR DE FABIOLA MARTHA	-14,69	USD	101043002
			260570 QR DE Jose		2000342903	24.04.2023	24.04.2023	50	-49,00	BOB	260570 QR DE Jose Aguirre	-7,04	USD	101043002
			460103 QR DE KELLI		2000342904	24.04.2023	24.04.2023	50	-56,65	BOB	460103 QR DE KELLIE CHACON	-8,14	USD	101043002
			TRANSFERENCIA		113077703	24.04.2023	24.04.2023	40	   290.000,00	BOB	LP-TRASPASO DE FONDOS	  41.666,67	USD	101043002
			TRANSFERENCIA		113077703	24.04.2023	24.04.2023	40	   116.000,00	BOB	LP-TRASPASO DE FONDOS	  16.666,67	USD	101043002
			COMPENSACION		113077480	24.04.2023	24.04.2023	40	   150.000,00	BOB	SC COMPENSACION BCP 5359	  21.551,72	USD	101043042
			COMPENSACION		113077480	24.04.2023	24.04.2023	50	-150.000,00	BOB	SC COMPENSACION BCP 5359	-21.551,72	USD	101043042
			COMPENSACION		113077486	24.04.2023	24.04.2023	40	     5.714,28	BOB	SC COMPENSACION BCP 5359	     821,02	USD	101043042
			TARIJA		113078010	24.04.2023	24.04.2023	40	        77,62	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/91/23	      11,15	USD	101043042
			TARIJA		113078010	24.04.2023	24.04.2023	50	-77,62	BOB	LP. COMPENSACION TARIJA CCAJ-TA06/91/23	-11,15	USD	101043042
			SUCRE		113078012	24.04.2023	24.04.2023	40	        88,70	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/90/23	      12,74	USD	101043042
			SUCRE		113078012	24.04.2023	24.04.2023	50	-88,70	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/90/23	-12,74	USD	101043042
			COCHABAMBA		113078014	24.04.2023	24.04.2023	40	       118,95	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/162/23	      17,09	USD	101043042
			COCHABAMBA		113078014	24.04.2023	24.04.2023	50	-118,95	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/162/23	-17,09	USD	101043042
			TRINIDAD		113078016	24.04.2023	24.04.2023	40	         0,00	BOB	LP. COMPENSACION TRINIDAD CCAJ-TR50/91/23	       0,01	USD	101043042
			COCHABAMBA		113078017	24.04.2023	24.04.2023	40	     1.702,88	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/94/202	     244,67	USD	101043042
			COCHABAMBA		113078017	24.04.2023	24.04.2023	50	-1.702,88	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/94/202	-244,67	USD	101043042
			DISCRUZ		113078020	24.04.2023	24.04.2023	40	    37.289,36	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/190/20	   5.357,66	USD	101043042
			DISCRUZ		113078020	24.04.2023	24.04.2023	50	-37.289,36	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/190/20	-5.357,66	USD	101043042
			DISCRUZ		113078021	24.04.2023	24.04.2023	40	    14.356,60	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/188/20	   2.062,71	USD	101043042
			DISCRUZ		113078021	24.04.2023	24.04.2023	50	-14.356,60	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/188/20	-2.062,71	USD	101043042
			CCAJ-CB13/92/23		113078086	24.04.2023	24.04.2023	40	       167,54	BOB		      24,07	USD	101043042
			153548 QR DE LUZ M		2000342980	24.04.2023	24.04.2023	50	-155,51	BOB	153548 QR DE LUZ MARIELA CO	-22,34	USD	101043042
			227132 QR DE ZELMY		2000342983	24.04.2023	24.04.2023	50	-12,03	BOB	227132 QR DE ZELMY ALEJANDR	-1,73	USD	101043042
			CCAJ-SR24/92/23		113078093	24.04.2023	24.04.2023	40	        56,32	BOB		       8,09	USD	101043042
			461670 QR DE Emma		2000342991	24.04.2023	24.04.2023	50	-56,32	BOB	461670 QR DE Emma Pillco	-8,09	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       654,00	BOB		      93,97	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       403,76	BOB		      58,01	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     1.858,30	BOB		     267,00	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     5.736,00	BOB		     824,14	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	        95,90	BOB		      13,78	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       395,92	BOB		      56,89	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     4.465,81	BOB		     641,64	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       276,00	BOB		      39,66	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       916,94	BOB		     131,74	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       191,63	BOB		      27,53	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       743,09	BOB		     106,77	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     1.550,34	BOB		     222,75	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	    13.000,00	BOB		   1.867,82	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       979,20	BOB		     140,69	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       772,09	BOB		     110,93	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	        97,49	BOB		      14,01	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     4.056,00	BOB		     582,76	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	     1.069,20	BOB		     153,62	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	        80,15	BOB		      11,52	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       855,50	BOB		     122,92	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       192,00	BOB		      27,59	USD	101043042
			CCAJ-SC39/192/20		113078108	24.04.2023	24.04.2023	40	       583,62	BOB		      83,85	USD	101043042
			101431 QR DE SCHAI		2000342977	24.04.2023	24.04.2023	50	-979,20	BOB	101431 QR DE SCHAIMANN VACA	-140,69	USD	101043042
			147597 QR DE RICAR		2000342978	24.04.2023	24.04.2023	50	-916,94	BOB	147597 QR DE RICARDO ALEJAN	-131,74	USD	101043042
			180469 QR DE YENNY		2000342981	24.04.2023	24.04.2023	50	-4.465,81	BOB	180469 QR DE YENNY MARISOL	-641,64	USD	101043042
			184864 QR DE ANA C		2000342982	24.04.2023	24.04.2023	50	-276,00	BOB	184864 QR DE ANA CRISTINA G	-39,66	USD	101043042
			382150 QR DE CLAUD		2000342986	24.04.2023	24.04.2023	50	-13.000,00	BOB	382150 QR DE CLAUDIA LILIAN	-1.867,82	USD	101043042
			459011 QR DE BORDA		2000342990	24.04.2023	24.04.2023	50	-191,63	BOB	459011 QR DE BORDA VALDEZ M	-27,53	USD	101043042
			470761 QR DE URIOS		2000342992	24.04.2023	24.04.2023	50	-743,09	BOB	470761 QR DE URIOSTE GUMUCI	-106,77	USD	101043042
					113077614	24.04.2023	24.04.2023	40	   350.000,00	BOB	SC TRASPASO DE FONDOS	  50.287,36	USD	101043042
					113077617	24.04.2023	24.04.2023	40	   128.000,00	BOB	SC TRASPASO DE FONDOS	  18.390,80	USD	101043042
					113077617	24.04.2023	24.04.2023	40	    98.000,00	BOB	SC TRASPASO DE FONDOS	  14.080,46	USD	101043042
					113077617	24.04.2023	24.04.2023	40	    36.000,00	BOB	SC TRASPASO DE FONDOS	   5.172,41	USD	101043042
					113077617	24.04.2023	24.04.2023	40	    56.000,00	BOB	SC TRASPASO DE FONDOS	   8.045,98	USD	101043042
			289941 QR DE ALEJA		2000342984	24.04.2023	24.04.2023	50	-131,22	BOB	289941 QR DE ALEJANDRO JOSE	-18,85	USD	101043042
			401239 QR DE HELEN		2000342987	24.04.2023	24.04.2023	50	-8.556,00	BOB	401239 QR DE HELEN SONIA GU	-1.229,31	USD	101043042
			415445 QR DE JUSTI		2000342988	24.04.2023	24.04.2023	50	-2.150,40	BOB	415445 QR DE JUSTINIANO BOW	-308,97	USD	101043042
			492233 QR DE GEAN		2000342993	24.04.2023	24.04.2023	50	-2.359,18	BOB	492233 QR DE GEAN MARCO VAL	-338,96	USD	101043042
			DISALTO		113077805	24.04.2023	24.04.2023	40	    71.648,87	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/166/20	  10.294,38	USD	101044012
			DISALTO		113077805	24.04.2023	24.04.2023	50	-71.648,87	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/166/20	-10.294,38	USD	101044012
			DISALTO		113077819	24.04.2023	24.04.2023	40	         0,00	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/165/20	       0,01	USD	101044012
			DISALTO		113077823	24.04.2023	24.04.2023	40	   187.196,40	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/162/20	  26.896,03	USD	101044012
			DISALTO		113077823	24.04.2023	24.04.2023	50	-187.196,40	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/162/20	-26.896,03	USD	101044012
			CCAJ-EA10/162/20		113077446	24.04.2023	24.04.2023	40	   187.196,40	BOB	LP.TRASPASO DISALTO A BISA 0022 20.04	  26.896,03	USD	101044012
			DISALTO		113077825	24.04.2023	24.04.2023	40	    13.383,30	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/161/20	   1.922,89	USD	101044012
			DISALTO		113077825	24.04.2023	24.04.2023	50	-13.383,30	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/161/20	-1.922,89	USD	101044012
			CCAJ-EA10/161/20		113077447	24.04.2023	24.04.2023	40	    13.383,30	BOB	LP.TRASPASO DISALTO A BISA 0022 19.04	   1.922,89	USD	101044012
			DISALTO		113077826	24.04.2023	24.04.2023	50	-13,01	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/90/23	-1,87	USD	101044012
			DISALTO		113077828	24.04.2023	24.04.2023	50	-2,28	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/89/23	-0,33	USD	101044012
			DISPAZ		113077829	24.04.2023	24.04.2023	40	    62.427,39	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/173/20	   8.969,45	USD	101044012
			DISPAZ		113077829	24.04.2023	24.04.2023	50	-62.427,39	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/173/20	-8.969,45	USD	101044012
			DISPAZ		113077830	24.04.2023	24.04.2023	40	    68.069,92	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/172/20	   9.780,15	USD	101044012
			DISPAZ		113077830	24.04.2023	24.04.2023	50	-68.069,92	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/172/20	-9.780,15	USD	101044012
			DISPAZ		113077831	24.04.2023	24.04.2023	50	         0,00	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/169/20	-0,01	USD	101044012
			CCAJ-LP02/169/20		113077444	24.04.2023	24.04.2023	40	   149.311,27	BOB	LP.TRASPASO DISPAZ A BISA 0022 20.04	  21.452,77	USD	101044012
			DISPAZ		113077833	24.04.2023	24.04.2023	40	    59.292,40	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/168/20	   8.519,02	USD	101044012
			DISPAZ		113077833	24.04.2023	24.04.2023	50	-59.292,40	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/168/20	-8.519,02	USD	101044012
			CCAJ-LP02/168/20		113077445	24.04.2023	24.04.2023	40	    59.292,40	BOB	LP.TRASPASO DISPAZ A BISA 0022 19.04	   8.519,02	USD	101044012
			DISPAZ		113077835	24.04.2023	24.04.2023	40	     5.724,20	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/175/23	     822,44	USD	101044012
			DISPAZ		113077835	24.04.2023	24.04.2023	50	-5.724,20	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/175/23	-822,44	USD	101044012
			CCAJ-LP01/175/23		113077362	24.04.2023	24.04.2023	40	     5.724,20	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 21.04	     822,44	USD	101044012
			DISPAZ		113077836	24.04.2023	24.04.2023	50	-3,49	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/174/23	-0,50	USD	101044012
			CCAJ-LP01/174/23		113077361	24.04.2023	24.04.2023	40	     4.190,70	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 21.04	     602,11	USD	101044012
			DISPAZ		113077837	24.04.2023	24.04.2023	40	     1.884,90	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/173/23	     270,82	USD	101044012
			DISPAZ		113077837	24.04.2023	24.04.2023	50	-1.884,90	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/173/23	-270,82	USD	101044012
			CCAJ-LP01/173/23		113077364	24.04.2023	24.04.2023	40	     1.884,90	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 20.04	     270,82	USD	101044012
			DISPAZ		113077839	24.04.2023	24.04.2023	50	-7,66	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/172/23	-1,10	USD	101044012
			CCAJ-LP01/172/23		113077363	24.04.2023	24.04.2023	40	     3.713,90	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 20.04	     533,61	USD	101044012
			DISPAZ		113077843	24.04.2023	24.04.2023	50	-3,40	BOB	LP. COMPENSACION DISPAZ CCAJ-LP07/90/23	-0,49	USD	101044012
